Date,Open,High,Low,Close,Volume,Market Cap
2019-07-27,219.62,223.52,204.9,207.41,6257703908,22208955063
2019-07-26,219.63,220.24,214.13,219.63,5729852178,23514586698
2019-07-25,216.97,224.25,216.14,219.62,6731281160,23510336985
2019-07-24,212.55,217.54,203.89,217.05,7168982843,23232101233
2019-07-23,217.57,218.52,209.64,212.73,6976091534,22767023810
2019-07-22,225.7,226.86,213.45,217.56,6338843919,23281138563
2019-07-21,229.17,229.86,219.03,225.63,6685082868,24141704293
2019-07-20,221.41,234.2,221.19,229.12,7976245988,24511869214
2019-07-19,226.66,226.94,215.84,221.33,7606433131,23675884534
2019-07-18,211.44,229.24,208.04,226.57,9327816059,24232572603
2019-07-17,199.07,217.98,193.99,211.48,9387747640,22616651114
2019-07-16,229.75,234.51,197.38,199.19,9036620494,21298941499
2019-07-15,227.97,235.03,210.39,229.78,9723674244,24566488597
2019-07-14,269.28,269.64,227.27,227.58,8578339386,24328422207
2019-07-13,276.29,276.69,263.07,269.46,6716829429,28801816023
2019-07-12,268.69,278.86,268,276.28,8148936015,29526802979
2019-07-11,289.95,290.02,266.09,268.7,10216287022,28713849048
2019-07-10,308.85,313.07,285.57,290,11679985167,30985827113
2019-07-09,313.33,318.22,305.29,308.88,10055159803,32998749928
2019-07-08,305.73,314.27,303.5,313.25,9078905628,33461369498
2019-07-07,287.6,310.14,286.11,305.7,8119724981,32650611906
2019-07-06,287.89,295.99,286.67,287.55,7674615025,30707785756
2019-07-05,284.38,293.92,282.69,288,8723493015,30751916427
2019-07-04,303.03,303.96,282.77,284.52,8403513106,30377082394
2019-07-03,291.76,303.34,291.4,303.1,9926711979,32356299765
2019-07-02,293.54,295.66,272.6,291.6,10618413952,31124332021
2019-07-01,290.27,301.03,280.02,293.64,10292223948,31338571563
2019-06-30,319.58,322.79,290.7,290.7,10303111000,31020295932
2019-06-29,311.28,322.04,294.75,320.06,10929374565,34149263832
2019-06-28,294.14,313.03,292.94,311.23,11514656820,33202586960
2019-06-27,336.96,343.43,278.57,294.27,14038092503,31389390615
2019-06-26,317.99,361.4,315.95,336.75,16437084081,35916727561
2019-06-25,310.68,318.13,307.64,318.13,9641764965,33925713000
2019-06-24,307.72,312.33,299.56,310.42,8205712062,33100160024
2019-06-23,309.42,318.57,305.76,307.83,8161062380,32819043043
2019-06-22,295.12,315.19,294.73,309.38,10613731255,32980338717
2019-06-21,271.74,295.3,271.74,294.91,9331694140,31433771859
2019-06-20,269.41,274.07,265.5,271.7,6408981097,28955655290
2019-06-19,265.06,270.33,264.75,269.43,5516510947,28710780975
2019-06-18,274.32,274.32,263.14,265.05,6205242504,28240458529
2019-06-17,269.09,275.44,268.35,274.35,6009795781,29227567867
2019-06-16,268.9,278.14,265.54,269.22,9676746453,28677606760
2019-06-15,263.93,271.51,262.12,269.02,8126853944,28652203067
2019-06-14,256.18,265.37,254.15,264.09,8676891267,28123338885
2019-06-13,260.91,262.16,255.6,256.17,8442077836,27276572627
2019-06-12,245.93,261.02,244.49,260.9,8645598618,27777154177
2019-06-11,247.86,248.66,239.83,245.78,7382269700,26163906569
2019-06-10,232.83,247.66,229.34,247.52,8141159848,26345596475
2019-06-09,245.54,245.97,229.26,233.09,7566421456,24806123509
2019-06-08,251.25,252.38,243.23,245.74,7225996863,26149221979
2019-06-07,249.34,254.35,246.6,250.93,8379534528,26698353830
2019-06-06,246.93,249.94,238.5,249.47,8265146806,26540057659
2019-06-05,241.5,248.14,239.98,247.05,8548917062,26278874481
2019-06-04,252.51,252.51,236.13,241.34,10132549747,25667971281
2019-06-03,270.09,270.33,251.26,252.61,9375712917,26863086906
2019-06-02,265.51,272.81,265.04,270.23,8744111713,28732949885
2019-06-01,268.43,273.56,263.52,265.39,9942869852,28215330784
2019-05-31,256.02,268.66,249.11,268.11,11255023515,28501098831
2019-05-30,269.55,287.2,247.35,255.86,13604268584,27194892741
2019-05-29,271.78,273.76,263.09,269.46,9819132174,28636457373
2019-05-28,272.59,274.32,267.51,271.77,10362846898,28878512607
2019-05-27,267.14,278.51,265.44,272.86,12074664736,28991071396
2019-05-26,251.72,269.17,247.25,267.07,9664267731,28371943145
2019-05-25,249.69,257.36,249.09,251.76,8924985385,26742086786
2019-05-24,245.99,255.26,243.24,249.48,9929433206,26497014859
2019-05-23,244.67,247.62,233.79,245.97,10671663487,26119891327
2019-05-22,255,258.8,242.73,244.7,9818257463,25982060192
2019-05-21,251.65,262.11,248.2,255.22,11545049594,27095257004
2019-05-20,261.27,261.55,241.8,251.86,10834541285,26736046292
2019-05-19,234.45,263.74,233.76,261.29,12049250894,27733299057
2019-05-18,243.91,246.36,233.1,234.6,10933142646,24896520187
2019-05-17,263.85,266.98,227.77,243.76,16037551694,25866318005
2019-05-16,246.94,275.39,245.8,264.01,18661465873,28010958253
2019-05-15,217.01,247.45,216.82,247.15,13460006534,26219111162
2019-05-14,196.74,217.87,196.05,217.15,12751049755,23033114137
2019-05-13,187.42,205.1,185.31,196.85,10367149039,20876934045
2019-05-12,194.16,201.88,183.65,187.33,10326050090,19864635091
2019-05-11,173.14,203.47,173.14,194.3,12578331654,20602050120
2019-05-10,170.31,175.89,168.99,173.14,8036919053,18355936406
2019-05-09,170.95,172.88,167.25,170.29,6546914198,18051087500
2019-05-08,169.9,172.18,166.41,170.95,6416569598,18118602844
2019-05-07,172.43,180.39,169.69,169.8,8411140170,17994460619
2019-05-06,163.34,175.76,159.99,172.65,7540096853,18294624766
2019-05-05,164.02,165.4,159.7,163.45,5938415562,17317292591
2019-05-04,167.89,170.65,161.79,164.03,6658100049,17376070198
2019-05-03,162.08,170.07,161.08,167.95,7299410672,17789626262
2019-05-02,160.85,162.94,160.06,162.12,6044171062,17169962760
2019-05-01,162.19,164.06,159.66,160.82,5789172433,17029616915
2019-04-30,155.17,162.43,155.17,162.17,6275803460,17170110493
2019-04-29,157.29,158.33,153.19,155.2,6053776253,16430642271
2019-04-28,158.5,159.57,157.13,157.3,5379894433,16650076837
2019-04-27,156.27,160.59,155.62,158.43,5863109118,16768575998
2019-04-26,154.58,158.03,152.09,156.35,7505283355,16545462357
2019-04-25,165.91,166.51,153.85,154.46,6820332362,16343573973
2019-04-24,171.35,171.57,161.98,165.83,7351304156,17544029659
2019-04-23,172.01,176.85,170.9,171.45,7097827092,18136462572
2019-04-22,170.02,173.07,168.73,171.87,6094878077,18179292263
2019-04-21,173.72,174.42,167.43,170.05,6005571688,17983602095
2019-04-20,173.72,176.71,171.79,173.75,6142567812,18373023202
2019-04-19,173.79,173.98,170.62,173.71,6541053061,18366130180
2019-04-18,166.91,175.37,166.67,173.81,6971581464,18374913022
2019-04-17,167.55,168.94,165.5,166.95,5596102715,17647086048
2019-04-16,161.53,167.67,160.89,167.62,5180105341,17715913572
2019-04-15,167.9,168.82,159.56,161.57,5672311824,17074367783
2019-04-14,164.48,168.59,162.78,167.84,4846298303,17734050269
2019-04-13,164.62,166.36,163.01,164.51,4959301561,17380468169
2019-04-12,165.34,166.13,161.03,164.74,6237185309,17401765647
2019-04-11,177.34,177.49,162.32,165.5,7859383417,17479876008
2019-04-10,176.07,183.13,175.23,177.34,7856924879,18728058767
2019-04-09,180.22,180.25,175.09,176.11,7632529578,18596496042
2019-04-08,174.45,184.38,174.16,180.26,9304964610,19031640376
2019-04-07,165.98,175.21,164.93,174.53,7596176020,18424576820
2019-04-06,165.51,172.52,161.8,165.95,7167016221,17516082778
2019-04-05,158.02,167.22,157.44,165.51,7531316908,17468192986
2019-04-04,161.43,164.93,155.24,158.05,7953123529,16678477300
2019-04-03,164.01,178.32,157.32,161.46,10622456246,17035703564
2019-04-02,141.84,165.23,141.64,163.96,9826645698,17297572365
2019-04-01,141.47,142.73,140.74,141.83,4611999536,14960828861
2019-03-31,142.14,142.19,140.7,141.51,4249050197,14925533137
2019-03-30,142.36,149.61,141.03,142.09,5144662127,14984615423
2019-03-29,139.34,142.55,138.05,142.5,5125602702,15025361637
2019-03-28,141.01,141.01,138.43,139.42,4163212475,14698609599
2019-03-27,135.45,141.08,135.34,140.99,5228240093,14862394451
2019-03-26,135.05,135.46,133.76,135.46,4499271679,14277816266
2019-03-25,137.08,137.7,133.49,135.03,4480516753,14230733149
2019-03-24,138.32,138.38,136.31,136.99,4266845458,14434995337
2019-03-23,137.04,139.39,136.91,138.24,4436568613,14565143357
2019-03-22,136.56,138.79,136.23,137.18,4490899266,14451740115
2019-03-21,140.48,141,135.86,136.64,5087247796,14392427839
2019-03-20,140.48,140.95,138.31,140.69,4664134462,14817151375
2019-03-19,139.25,140.99,139.14,140.52,4251488129,14797612389
2019-03-18,140.1,142.27,138.84,139.37,4551739879,14675181094
2019-03-17,142.24,142.37,139.32,140,3827157729,14739201597
2019-03-16,137.91,144.56,137.91,142.4,4839003569,14989691491
2019-03-15,133.57,138.4,133.57,137.69,4506861856,14492364551
2019-03-14,133.2,135.18,132.75,133.71,4476532147,14071628064
